ranking,dist_class,size_class,dist,size,status,taxon,state,user_category,user_login,taxon_species_name,taxon_group,latitude,longitude,size_scaled,dist_scaled,log_dist,growth
8,wide,medium,19,38,LC,Aves,Canelones,expert,santiagoramos,Tyrannus savana,tetrapods,-34.731902601,-55.714105538,-0.04271014331789283,0.4292554344470148,2.9444389791664403,NA
8,wide,small,19,14,LC,Aves,Canelones,expert,santiagoramos,Anthus correndera,tetrapods,-34.7291184578,-55.7120396532,-0.43283162976569434,0.4292554344470148,2.9444389791664403,NA
8,wide,medium,19,37,LC,Aves,Canelones,expert,santiagoramos,Daptrius chimango,tetrapods,-34.7288886828,-55.7105825489,-0.05896520525321789,0.4292554344470148,2.9444389791664403,NA
8,wide,small,19,11,LC,Aves,Canelones,expert,santiagoramos,Lessonia rufa,tetrapods,-34.725413224,-55.7087986803,-0.4815968155716695,0.4292554344470148,2.9444389791664403,NA
8,wide,medium,19,36,LC,Aves,Canelones,expert,santiagoramos,Amazonetta brasiliensis,tetrapods,-34.7226413011,-55.7050319417,-0.07522026718854295,0.4292554344470148,2.9444389791664403,NA
8,wide,small,19,11,LC,Aves,Canelones,expert,santiagoramos,Lessonia rufa,tetrapods,-34.7242383237,-55.7091903691,-0.4815968155716695,0.4292554344470148,2.9444389791664403,NA
8,wide,medium,19,107,LC,Mammalia,Canelones,expert,santiagoramos,Procyon cancrivorus,tetrapods,-34.7269590744,-55.71292247,1.0788891302195365,0.4292554344470148,2.9444389791664403,NA
8,wide,medium,19,24,LC,Aves,Canelones,expert,santiagoramos,Melanerpes candidus,tetrapods,-34.7270901415,-55.7130048485,-0.2702810104124437,0.4292554344470148,2.9444389791664403,NA
267,wide,large,19,150,NE,Reptilia,San José,beginner,marcelo_colina,Bothrops alternatus,tetrapods,-34.749148419,-56.5346482212,1.777856793438514,0.4292554344470148,2.9444389791664403,NA
267,wide,large,19,150,NE,Reptilia,San José,beginner,marcelo_colina,Bothrops alternatus,tetrapods,-34.7493647635,-56.5349596507,1.777856793438514,0.4292554344470148,2.9444389791664403,NA
267,medium,small,7,6,LC,Reptilia,San José,beginner,marcelo_colina,Liolaemus wiegmannii,tetrapods,-34.7492393788,-56.5345181397,-0.5628721252482948,-2.2555166325944476,1.9459101490553132,NA
267,medium,medium,10,7,LC,Amphibia,Salto,beginner,marcelo_colina,Rhinella dorbignyi,tetrapods,-31.2960062623,-57.9188197805,-0.5466170633129698,-1.5843236158340819,2.302585092994046,NA
8,wide,medium,19,20,LC,Aves,Maldonado,expert,santiagoramos,Tyrannus melancholicus,tetrapods,-34.8419765281,-54.637885156,-0.33530125815374395,0.4292554344470148,2.9444389791664403,NA
8,wide,small,19,11,LC,Aves,Canelones,expert,santiagoramos,Serpophaga nigricans,tetrapods,-34.9425635501,-55.926580869,-0.4815968155716695,0.4292554344470148,2.9444389791664403,NA
8,wide,small,19,13,LC,Aves,Lavalleja,expert,santiagoramos,Pyrocephalus rubinus,tetrapods,-34.3253266699,-54.9878475334,-0.4490866917010194,0.4292554344470148,2.9444389791664403,NA
8,wide,medium,19,21,LC,Aves,Canelones,expert,santiagoramos,Pseudoleistes virescens,tetrapods,-34.7517714309,-55.6313002018,-0.3190461962184189,0.4292554344470148,2.9444389791664403,NA
8,wide,small,19,14,LC,Aves,Lavalleja,expert,santiagoramos,Knipolegus cyanirostris,tetrapods,-34.3266635076,-54.9813922062,-0.43283162976569434,0.4292554344470148,2.9444389791664403,NA
8,wide,small,19,14,LC,Aves,Lavalleja,expert,santiagoramos,Vireo chivi,tetrapods,-34.3267295628,-54.981278329,-0.43283162976569434,0.4292554344470148,2.9444389791664403,NA
8,wide,small,19,15,LC,Aves,Canelones,expert,santiagoramos,Thraupis sayaca,tetrapods,-34.7977468343,-55.9037770722,-0.4165765678303692,0.4292554344470148,2.9444389791664403,NA
17,wide,medium,19,34,LC,Aves,Maldonado,expert,elena_26,Anas flavirostris,tetrapods,-34.9178402282,-54.9649697542,-0.10773039105919308,0.4292554344470148,2.9444389791664403,NA
14,medium,large,7,75,NT,Aves,Maldonado,expert,pablo_gfs,Phoenicopterus chilensis,tetrapods,-34.9037641105,-54.9472254562,0.5587271482891345,-2.2555166325944476,1.9459101490553132,NA
273,medium,small,13,28,NE,Reptilia,Soriano,beginner,rodrii_srivera,Amphisbaena darwinii,tetrapods,-33.2633144575,-58.0310283601,-0.20526076267114346,-0.9131305990737163,2.5649493574615367,NA
20,wide,medium,19,42,LC,Aves,Artigas,expert,sgomez-barboza,Dendrocygna viduata,tetrapods,-30.2132587532,-57.6145511915,0.022310104423407414,0.4292554344470148,2.9444389791664403,NA
20,medium,medium,13,33,LC,Aves,Artigas,expert,sgomez-barboza,Nomonyx dominicus,tetrapods,-30.2132587532,-57.6145511915,-0.12398545299451814,-0.9131305990737163,2.5649493574615367,NA
20,wide,medium,19,36,LC,Aves,Artigas,expert,sgomez-barboza,Amazonetta brasiliensis,tetrapods,-30.2132587532,-57.6145511915,-0.07522026718854295,0.4292554344470148,2.9444389791664403,NA
20,wide,medium,19,37,LC,Aves,Artigas,expert,sgomez-barboza,Spatula versicolor,tetrapods,-30.2132587532,-57.6145511915,-0.05896520525321789,0.4292554344470148,2.9444389791664403,NA
